state_usps,week_end_date,vacc_pct_any_18p,vacc_pct_full_18p,booster_pct_18p,weekly_cases_per_100k,weekly_deaths_per_100k,cases_per_100k,deaths_per_100k,weekly_cases_count,weekly_deaths_count,tot_cases,tot_deaths,hesitancy_pct,population
US,2020-12-16,0.0,0.0,0.0,4986.03,88.0,4986.03,88.0,16499122.0,291209.0,16499122,291209,15.57,330906803
US,2020-12-23,0.0,0.0,0.0,446.83,5.83,5432.87,93.83,1478607.0,19277.0,17977729,310486,15.57,330906803
US,2020-12-30,0.0,0.0,0.0,388.19,5.16,5821.06,98.99,1284547.0,17068.0,19262276,327554,15.57,330906803
US,2021-01-06,0.0,0.0,0.0,467.61,5.81,6279.47,104.64,1549814.0,19255.0,20812090,346809,15.57,331430504
US,2021-01-13,0.0,0.0,0.0,500.02,6.97,6779.49,111.61,1657209.0,23115.0,22469299,369924,15.57,331430504
US,2021-01-20,0.0,0.0,0.0,402.19,6.37,7181.68,117.98,1332994.0,21107.0,23802293,391031,15.57,331430504
US,2021-01-27,0.0,0.0,0.0,327.59,6.69,7509.28,124.67,1085741.0,22162.0,24888034,413193,15.57,331430504
US,2021-02-03,0.0,0.0,0.0,264.89,6.2,7774.17,130.87,877934.0,20558.0,25765968,433751,15.57,331430504
US,2021-02-10,0.0,0.0,0.0,213.37,5.64,7987.54,136.51,707167.0,18690.0,26473135,452441,15.57,331430504
US,2021-02-17,12.89,0.0,0.0,154.29,4.14,8141.82,140.65,511350.0,13711.0,26984485,466152,15.57,331430504
US,2021-02-24,16.07,0.0,0.0,131.66,3.94,8273.48,144.59,436356.0,13056.0,27420841,479208,15.57,331430504
US,2021-03-03,20.35,0.0,0.0,125.84,3.9,8399.32,148.49,417074.0,12927.0,27837915,492135,15.57,331430504
US,2021-03-10,24.04,12.67,0.0,109.47,2.78,8508.79,151.26,362822.0,9199.0,28200737,501334,15.57,331430504
US,2021-03-17,28.34,15.39,0.0,105.16,2.12,8613.95,153.38,348533.0,7027.0,28549270,508361,15.57,331430504
