state_usps,week_end_date,vacc_pct_any_18p,vacc_pct_full_18p,booster_pct_18p,population,weekly_cases_per_100k,weekly_deaths_per_100k,cases_per_100k,deaths_per_100k,weekly_cases_count,weekly_deaths_count,tot_cases,tot_deaths,hesitancy_pct
AK,2020-12-16,0.0,0.0,0.0,733017,5709.96,24.56,5709.96,24.56,41855.0,180.0,41855,180,22.35
AK,2020-12-23,0.0,0.0,0.0,733017,303.27,2.18,6013.23,26.74,2223.0,16.0,44078,196,22.35
AK,2020-12-30,0.0,0.0,0.0,733017,235.19,0.95,6248.42,27.69,1724.0,7.0,45802,203,22.35
AK,2021-01-06,0.0,0.0,0.0,734420,275.86,2.31,6512.35,29.96,2026.0,17.0,47828,220,22.35
AK,2021-01-13,0.0,0.0,0.0,734420,268.65,0.82,6781.0,30.77,1973.0,6.0,49801,226,22.35
AK,2021-01-20,0.0,0.0,0.0,734420,187.49,3.68,6968.49,34.45,1377.0,27.0,51178,253,22.35
AK,2021-01-27,0.0,0.0,0.0,734420,160.81,1.09,7129.3,35.54,1181.0,8.0,52359,261,22.35
AK,2021-02-03,0.0,0.0,0.0,734420,128.81,2.45,7258.11,37.99,946.0,18.0,53305,279,22.35
AK,2021-02-10,0.0,0.0,0.0,734420,134.66,0.14,7392.77,38.13,989.0,1.0,54294,280,22.35
AK,2021-02-17,22.0,0.0,0.0,734420,109.88,1.09,7502.66,39.21,807.0,8.0,55101,288,22.35
AK,2021-02-24,28.2,0.0,0.0,734420,120.5,0.14,7623.16,39.35,885.0,1.0,55986,289,22.35
AK,2021-03-03,30.8,0.0,0.0,734420,119.28,1.63,7742.44,40.98,876.0,12.0,56862,301,22.35
AK,2021-03-10,34.0,21.5,0.0,734420,123.91,0.27,7866.34,41.26,910.0,2.0,57772,303,22.35
AK,2021-03-17,37.8,24.4,0.0,734420,124.45,0.27,7990.8,41.53,914.0,2.0,58686,305,22.35
AK,2021-03-24,41.6,26.7,0.0,734420,128.54,0.68,8119.33,42.21,944.0,5.0,59630,310,22.35
AK,2021-03-31,44.3,29.3,0.0,734420,161.49,0.14,8280.82,42.35,1186.0,1.0,60816,311,22.35
AK,2021-04-07,46.4,32.6,0.0,734420,164.48,0.0,8445.3,42.35,1208.0,0.0,62024,311,22.35
AK,2021-04-14,50.5,40.2,0.0,734420,151.55,0.14,8596.85,42.48,1113.0,1.0,63137,312,22.35
AK,2021-04-21,52.2,42.7,0.0,734420,156.04,2.72,8752.89,45.21,1146.0,20.0,64283,332,22.35
AK,2021-04-28,53.4,44.6,0.0,734420,141.88,1.63,8894.77,46.84,1042.0,12.0,65325,344,22.35
AK,2021-05-05,54.8,46.9,0.0,734420,99.53,0.14,8994.31,46.98,731.0,1.0,66056,345,22.35
AK,2021-05-12,55.7,48.3,0.0,734420,76.93,0.68,9071.24,47.66,565.0,5.0,66621,350,22.35
AK,2021-05-19,56.6,49.3,0.0,734420,61.68,2.18,9132.92,49.84,453.0,16.0,67074,366,22.35
AK,2021-05-26,57.7,50.3,0.0,734420,40.44,0.0,9173.36,49.84,297.0,0.0,67371,366,22.35
AK,2021-06-02,58.5,51.0,0.0,734420,31.32,0.0,9204.68,49.84,230.0,0.0,67601,366,22.35
AK,2021-06-09,59.1,51.8,0.0,734420,25.19,0.0,9229.87,49.84,185.0,0.0,67786,366,22.35
AK,2021-06-16,59.7,52.6,0.0,734420,21.11,0.54,9250.97,50.38,155.0,4.0,67941,370,22.35
AK,2021-06-23,60.1,53.1,0.0,734420,32.27,0.14,9283.24,50.52,237.0,1.0,68178,371,22.35
AK,2021-06-30,61.3,54.2,0.0,734420,34.99,0.41,9318.24,50.92,257.0,3.0,68435,374,22.35
AK,2021-07-07,62.6,55.6,0.0,734420,42.62,0.0,9360.86,50.92,313.0,0.0,68748,374,22.35
AK,2021-07-14,63.0,56.1,0.0,734420,77.88,0.54,9438.74,51.47,572.0,4.0,69320,378,22.35
AK,2021-07-21,63.1,56.4,0.0,734420,163.26,0.14,9602.0,51.61,1199.0,1.0,70519,379,22.35
AK,2021-07-28,63.6,56.8,0.0,734420,210.51,0.54,9812.51,52.15,1546.0,4.0,72065,383,22.35
AK,2021-08-04,64.2,57.1,0.0,734420,257.62,0.95,10070.12,53.1,1892.0,7.0,73957,390,22.35
AK,2021-08-11,64.7,57.4,0.0,734420,287.57,0.95,10357.7,54.06,2112.0,7.0,76069,397,22.35
AK,2021-08-18,65.3,57.8,0.0,734420,408.62,1.63,10766.32,55.69,3001.0,12.0,79070,409,22.35
AK,2021-08-25,66.0,58.3,0.0,734420,457.1,3.54,11223.41,59.23,3357.0,26.0,82427,435,22.35
AK,2021-09-01,66.9,58.8,0.0,734420,497.13,1.36,11720.54,60.59,3651.0,10.0,86078,445,22.35
AK,2021-09-08,67.8,59.5,0.0,734420,580.59,1.09,12301.14,61.68,4264.0,8.0,90342,453,22.35
AK,2021-09-15,68.9,60.1,0.0,734420,665.42,1.63,12966.56,63.32,4887.0,12.0,95229,465,22.35
AK,2021-09-22,69.6,61.1,0.0,734420,852.1,1.77,13818.66,65.09,6258.0,13.0,101487,478,22.35
AK,2021-09-29,70.2,62.3,0.0,734420,1148.66,11.57,14967.32,76.66,8436.0,85.0,109923,563,22.35
AK,2021-10-06,70.8,62.9,0.0,734420,782.11,2.45,15749.43,79.11,5744.0,18.0,115667,581,22.35
